Countries,Population_per_k,Land_Area_per_k,Region,pop_density
Austria,9006.398,82.409,Europe,109.28900969554296
Bolivia,11673.021,1083.3,South America,10.775427859318748
China,1439323.776,9388.211,Asia,153.31182650240817
Denmark,5792.202,42.43,Europe,136.51194909262315
Egypt,102334.404,995.45,Africa,102.80215379978904
Ethiopia,114963.588,1000.0,Africa,114.963588
Finland,5540.72,303.89,Europe,18.232649972029353
France,65273.511,547.557,Europe,119.2086138977312
Germany,83783.942,348.56,Europe,240.37164907046133
Greece,10423.054,128.9,Europe,80.86155159038015
